gene.name,Geneid,ribo.log2FC,ribo.padj
aap-1,WBGene00000001,-0.146582291386381,0.89942393401418
aat-1,WBGene00000002,-0.352041580698834,0.462682042786381
aat-2,WBGene00000003,0.347230328434632,0.461739420567321
aat-3,WBGene00000004,0.505080269145241,0.334898054595641
aat-4,WBGene00000005,0.405742623887257,0.450131571022338
aat-5,WBGene00000006,0.123409808986329,0.955645971199646
aat-6,WBGene00000007,-0.0686370332299557,0.965875445601145
aat-7,WBGene00000008,0.283790235921019,NA
aat-8,WBGene00000009,-0.703097770226118,0.508722786380537
aat-9,WBGene00000010,0.139003360820498,0.91161606388453
abf-1,WBGene00000012,0.911787756705398,NA
abf-2,WBGene00000013,0.113639751430299,NA
abf-3,WBGene00000014,NA,NA
abf-4,WBGene00000015,0.236539357864992,0.969852936131848
abf-5,WBGene00000016,0.313976926282565,0.853223495580364
abf-6,WBGene00000017,0.481292257441157,0.625785740540433
abl-1,WBGene00000018,-0.134919740794918,0.929103716871417
abt-1,WBGene00000019,-0.0911365767106386,0.960881979911796
abt-2,WBGene00000020,-0.118302390260825,0.935077198760543
abt-3,WBGene00000021,NA,NA
abt-4,WBGene00000022,0.445432736869461,0.0734780077322601
abt-5,WBGene00000023,-0.400649721584364,0.280192207649604
abu-1,WBGene00000024,-1.13582027402822,1.65535303264036e-07
abu-2,WBGene00000025,-1.60848245260601,NA
abu-3,WBGene00000026,0.996788901925839,NA
abu-4,WBGene00000027,-0.893719798073618,0.435736287121521
abu-5,WBGene00000028,-1.02604768245757,0.295108359632818
abu-6,WBGene00000029,-0.961635968144087,9.5167461054265e-05
abu-7,WBGene00000030,-1.05152962726435,4.51566019059891e-05
abu-8,WBGene00000031,-0.993791834004619,6.80376264856919e-06
abu-9,WBGene00000032,-1.02234046891555,0.000967289208290059
abu-10,WBGene00000033,-0.926326813423692,0.00369864161127181
abu-11,WBGene00000034,-1.10318511179786,6.03660660137618e-05
ace-1,WBGene00000035,0.193290912244533,0.932240796366537
ace-2,WBGene00000036,-0.385154393132834,0.662408761303457
ace-3,WBGene00000037,-0.130003987653499,0.977072587269992
ace-4,WBGene00000038,1.4123692502247,NA
acn-1,WBGene00000039,-0.0870424482899757,0.946799845502969
aco-1,WBGene00000040,0.520787191018112,0.00279546162563352
aco-2,WBGene00000041,0.0558270692129903,0.949264738216943
acr-2,WBGene00000042,-0.263510747597907,NA
acr-3,WBGene00000043,1.08422395230588,NA
acr-5,WBGene00000044,0.552180626146128,NA
acr-6,WBGene00000045,-0.715619240123194,NA
acr-7,WBGene00000046,-0.699982934322238,NA
acr-8,WBGene00000047,0.355749093325704,0.932653617438653
acr-9,WBGene00000048,-0.0129816147072849,NA
acr-10,WBGene00000049,NA,NA
acr-11,WBGene00000050,0.27001719691761,NA
acr-12,WBGene00000051,-0.427919691955528,0.892583601921736
acr-14,WBGene00000053,1.12807217861154,NA
acr-15,WBGene00000054,0.0842076528683901,0.987674881893293
acr-16,WBGene00000055,0.373150137401431,0.869523511800041
acr-17,WBGene00000056,0.97183964056429,NA
acr-18,WBGene00000057,0.0953049880385234,0.984682379580549
acr-19,WBGene00000058,0.274731837148506,NA
acr-20,WBGene00000059,0.164856550976387,NA
acr-21,WBGene00000060,-2.18650928596039,NA
lgc-11,WBGene00000061,-0.966785673476974,NA
acr-23,WBGene00000062,0.752166679666997,NA
act-1,WBGene00000063,0.0472638249357687,0.97337987242418
act-2,WBGene00000064,0.0338343479751929,0.980184041837631
act-3,WBGene00000065,0.0461478592534122,0.97337987242418
act-4,WBGene00000066,0.0564453193612289,0.973357213483689
act-5,WBGene00000067,0.259501216891894,0.372745714722123
acy-1,WBGene00000068,0.305618330919855,0.661138055663365
acy-2,WBGene00000069,0.00176769611925879,NA
acy-3,WBGene00000070,0.493691090310844,0.230464339284981
acy-4,WBGene00000071,0.0293347508830081,0.988924249672385
add-1,WBGene00000072,-0.209141301584854,0.799239683638017
add-2,WBGene00000073,0.321756295386072,0.477995068314785
adm-2,WBGene00000074,-0.139221360400126,0.910501965478464
adm-4,WBGene00000075,0.423217878264051,0.465519316064327
adr-1,WBGene00000079,-0.260541468263882,0.791568497794601
adr-2,WBGene00000080,-0.0172511839809694,0.992886529172199
ads-1,WBGene00000081,-0.0246143648299788,0.985814823242554
adt-1,WBGene00000082,-0.569582892439571,0.0476367883503531
adt-2,WBGene00000083,0.488614798251735,0.188847251216731
aex-1,WBGene00000084,-0.103794931819075,0.953255763007481
aex-2,WBGene00000085,-0.363122626443947,0.933425893851507
aex-3,WBGene00000086,-0.208323143494817,0.809176165920048
aex-5,WBGene00000088,-0.0348584186170709,0.985277190566788
aex-6,WBGene00000089,-0.204813164144253,0.861138534085523
age-1,WBGene00000090,-0.0823929888108032,0.951579305055245
ags-3,WBGene00000092,-0.204231954012473,0.745532858709274
agt-1,WBGene00000093,-0.0288046603400702,0.988520786325952
agt-2,WBGene00000094,-0.113677249893694,0.965875445601145
aha-1,WBGene00000095,-0.0913663868748451,0.948061429973628
ahr-1,WBGene00000096,0.532101950910238,NA
aip-1,WBGene00000097,0.250030976466468,0.789499428138973
air-1,WBGene00000098,-0.0951155987508212,0.918439080122234
air-2,WBGene00000099,-0.105531708981214,0.915000999212069
ajm-1,WBGene00000100,-0.33083164065618,0.284557172208998
aka-1,WBGene00000101,0.105697521657155,0.899859298626646
akt-1,WBGene00000102,-0.0873925928207795,0.957200650288867
akt-2,WBGene00000103,-0.188888547375197,0.803790926304059
alg-1,WBGene00000105,-0.0388696152367117,0.981083375518509
alg-2,WBGene00000106,0.237131821627662,0.537400647231527
alh-1,WBGene00000107,0.0470068419522203,0.965875445601145
alh-2,WBGene00000108,-0.463956388120722,NA
alh-3,WBGene00000109,0.184400624932618,0.59294787171879
alh-4,WBGene00000110,-0.111202607048219,0.847127631079177
alh-5,WBGene00000111,-0.0199572839763582,0.992886529172199
alh-6,WBGene00000112,0.236021957233831,0.540691748564242
alh-7,WBGene00000113,0.00198497815242391,0.998784718279405
alh-8,WBGene00000114,0.139798671812635,0.816128144815674
alh-9,WBGene00000115,0.818899889080694,8.65824053227555e-09
alh-10,WBGene00000116,0.24100195426503,0.648392395184099
alh-11,WBGene00000117,0.298718441714178,0.285174786987872
alh-12,WBGene00000118,0.245530334509266,0.459418581350354
aly-1,WBGene00000120,0.149381383617991,0.884183958464375
aly-2,WBGene00000121,-0.0950272289878345,0.911510486307421
aly-3,WBGene00000122,-0.0915630845785195,0.915959001535102
ama-1,WBGene00000123,-0.105806964090654,0.888329994650791
amt-1,WBGene00000133,1.69515346453371,0.000564741942354669
amt-2,WBGene00000134,-0.676461389575171,NA
amt-3,WBGene00000135,-0.409552410571227,NA
amt-4,WBGene00000136,0.624056545014427,0.00368651937733949
amx-1,WBGene00000137,0.0894257461761731,0.96921605425167
amx-2,WBGene00000138,-0.165324342827654,0.901509875404356
amx-3,WBGene00000139,0.319806574023325,0.692532482475851
anc-1,WBGene00000140,0.184779910727639,0.758175388182491
aos-1,WBGene00000142,-0.0232663861405451,0.988924249672385
apc-2,WBGene00000143,-0.142268878261313,0.863447226455229
apc-10,WBGene00000144,-0.0478303507543956,0.978861013402816
apc-11,WBGene00000145,0.375905553017851,0.509456215254371
ape-1,WBGene00000146,-0.0770163139842955,0.949464718044123
aph-1,WBGene00000147,0.110892682834757,0.969588758358999
aph-2,WBGene00000148,0.231456060635562,0.702265230540103
apl-1,WBGene00000149,-0.140391118569075,0.899859298626646
